epoch,lr-Adam,step,train_edge_loss,train_loss,train_node_loss,val_edge_loss,val_loss,val_node_loss
,0.0001,0,,,,,,
0,,0,0.6921875476837158,3.2285139560699463,2.5363264083862305,,,
0,,1,0.553299069404602,3.0669326782226562,2.5136334896087646,,,
0,,2,0.319341242313385,2.813143491744995,2.493802309036255,,,
0,,3,0.1658460646867752,2.644174575805664,2.4783284664154053,,,
0,,4,0.06859248876571655,2.5232908725738525,2.454698324203491,,,
0,,5,0.026369474828243256,2.4693448543548584,2.4429752826690674,,,
0,,6,0.005357848946005106,2.4361701011657715,2.430812358856201,,,
0,,7,0.020727690309286118,2.427522659301758,2.406795024871826,,,
0,,8,0.0048364512622356415,2.398618698120117,2.393782138824463,,,
0,,9,0.004145652521401644,2.3927054405212402,2.3885598182678223,,,
0,,10,0.00725414277985692,2.3740832805633545,2.3668291568756104,,,
0,,11,0.009326469153165817,2.3680620193481445,2.3587355613708496,,,
0,,11,,,,0.011513923294842243,2.3585903644561768,2.347076416015625
,9.997557473810373e-05,12,,,,,,
1,,12,0.014852672815322876,2.367891311645508,2.3530385494232178,,,
1,,13,0.009671857580542564,2.3540117740631104,2.3443398475646973,,,
1,,14,0.007944918237626553,2.337275981903076,2.329331159591675,,,
1,,15,0.013471122831106186,2.3244903087615967,2.3110191822052,,,
1,,16,0.006217979360371828,2.3189620971679688,2.312744140625,,,
1,,17,0.00967185664921999,2.3240506649017334,2.3143787384033203,,,
1,,18,0.005181815940886736,2.3076841831207275,2.302502393722534,,,
1,,19,0.06700622290372849,2.3573074340820312,2.2903013229370117,,,
1,,20,0.010017245076596737,2.303253650665283,2.293236494064331,,,
1,,21,0.006563366390764713,2.304495096206665,2.297931671142578,,,
1,,22,0.012780345976352692,2.287297010421753,2.2745165824890137,,,
1,,23,0.007944918237626553,2.294823408126831,2.2868785858154297,,,
1,,23,,,,0.011513923294842243,2.2902987003326416,2.27878475189209
,9.990232305719946e-05,24,,,,,,
2,,24,0.006217979826033115,2.290799140930176,2.284581184387207,,,
2,,25,0.012089570052921772,2.284503698348999,2.272414207458496,,,
