epoch,lr-Adam,step,train_edge_loss,train_loss,train_node_loss
,0.0001,0,,,
0,,0,2.622652053833008,6.468500137329102,3.8458480834960938
,0.0001,1,,,
0,,1,2.303926467895508,5.8700103759765625,3.5660836696624756
,0.0001,2,,,
0,,2,2.006230354309082,5.32875919342041,3.322528600692749
,0.0001,3,,,
0,,3,1.72853422164917,4.796363830566406,3.0678298473358154
,0.0001,4,,,
0,,4,1.4702866077423096,4.302833080291748,2.8325464725494385
,0.0001,5,,,
0,,5,1.2547671794891357,3.8506393432617188,2.595872163772583
